nombre,telefono,mail,web,referentes
Consulta de Enfermería Intercultural,099107919,consultaenfermeraintercultural@gmail.com,http://fb.me/consultaenfermeraintercultural,Katia Marina| Responsable y Ejecutora| Lourdes Balado| Responsable y Ejecutora
Cooperativa de Servicios Sociales y Educativos Rizoma - Centro Juvenil Chiquillada,4586 6546,centrojuvenilchiquillada@gmail.com,,Iliana Grecco| Coordinadora
Construyendo Juntos - Centro CAIF Cultivando Risas,,construyendojuntos@gmail.com,,
Cooperativa de Trabajo Cultural Capurro,092100364,cooperativacapurro@gmail.com,http:///www.facebook.com/pg/cooperativaculturalcapurro/,Lorena Acosta| Santiago Firpo| Marinella Fernández
Cooperativa de Trabajadores Hábiles e Inhábiles,24091110,cooperativacothain@gmail.com,,Clara Barrios - Presidenta| Mónica López - Secretaria| Adriana García - Tesorera
Cooperativa de Trabajadores La Cantera de 25,4339 2974,ise-moroti@hotmail.com,,Lycel Rodríguez| Presidenta| Jeniffer Ortiz| Secretaria| Leticia Silva| Tesorera
Congregación Evangélica de Nueva Helvecia,4554 4158,,http://iglesiaevangelica.org/,
Comité de Jubilados de la Salud Privada,2311 4443,,,
Comité de Jubilados y Pensionistas de Carmelo,4542 2719,,,
Congregación de las Hermanas Ursulinas Hijas de María Inmaculada,,vincodaria@hotmail.com,,
Congreso Obrero Textil,2309 4237,cot@adinet.com.uy,,Graciela López| Delegada| Jorge Castillo| Suplente
Comité de América Latina y el Caribe para la Defensa de los Derechos de la Mujer,098 646 858,arlima16@gmail.com,http://www.cladem.org/america-y-el-caribe/67-cladem-uruguay,Ana Lima| Coordinadora Nacional
Club de Abuelos de Santa Rosa,4313 2111,,,
Cooperativa de Trabajadores Abriendo Puertas - Centro CAIF Los Fueguitos,2227 3676,caiflosfueguitos@hotmail.com,,Eli Beltrán| Presidenta
Club de Abuelos de San José,4347 9699,,,
Comité Central Israelita del Uruguay,2901 6057 | 2900 6562,cciu@cciu.org.uy,http://cciu.org.uy,Roberto Cyjon - Presidente| Laura Rozenbaum - Secretaria General
Club de Abuelos de Ombúes de Lavalle,4576 2466,,,
Cooperativa de Trabajo Sembrando Sueños CAIF Picasso,097 217230,caifpicasso@gmail.com,http://www.facebook.com/sembrando.suenos.144,
Cooperativa de trabajo Itapebí - CAIF MELETE II,2924 8268,itapedicaifmelete@gmail.com,,
Cooperativa de Trabajo Extremo,096 831940,vladimir.w@gmail.com,,Vladimir Woltz
Cooperativa de Trabajo Moiru - Centro CAIF Moiru,26825596 | 095173132,cooperativamoiru@gmail.com,,
Cooperativa Hincapié,2900 5378,cooperativahincapie@gmail.com,http://www.facebook.com/cooperativa.hincapie,Pablo González| Presidente| Vaylena Escudero| Vicepresidenta| Nicolás Echeveste| Secretario.
Cooperativa de trabajo Pa`lante,23590664 097994720,cotrapalante@hotmail.com,,
Cooperativa Guyunusa,2698 5102,cooperativa.guyunusa@gamil.com,http://coop-guyunusa.blogspot.com,Carlos Pérez| Presidente.| Liber Acosta| Secretario| Ana Tejera| Tesorera
Cooperativa de Viviendas CAMINOS NUEVOS,092140826,covicanu2013@gmail.com,http://www.covicanu2013.wix.com/covicanu-durazno,Omar Delgado - Presidente| Noelia Guanco - Secretaria| Oscar Cespedes - Tesorero
Cooperativa de Vivienda Nueva Vida,099 058 245,saprizahector@hotmail.com,http://www.youtube.com/watch?v=n_Xny__vWSM,Alicia de Souza| Presidenta
"Cooperativa de Vivienda por Ayuda Mutua ""6 DE MAYO""",098911858,covi6demayo@gmail.com,http://www.covi6demayo.wordpress.com,Shirley Carvallo - Presidente| Daniela Cousillas - Secretario| Isabel Ibarra - Tesorero
Congregación Evangélica Luterana San Pablo - Iglesia Luterana del Uruguay,23364914,,,
Cooperativa de trabajo Kerandy- Caif UNALUNA,22220818,caifunaluna@gmail.com,,
Cooperativa Policial de Ahorro y Crédito,2908 5950,servicio0800@copac.com.uy,http://copac.com.uy,Jorge Eduardo Sellanes Sosa| Presidente Consejo Directivo| Ulises Manuel Maciel Camissa| Vicepresidente Consejo Directivo| José Francisco Vilela Álvarez| Secretario Consejo Directivo
Cooperativa Pesquera Hortícola Fluvial Uruguaya,2227 4671,cophflur@gmail.com,,Lourdes Ocaño - Presidenta| Jorge Braceiro - Secretario| Aldo Braceiro - Gerente Cooperativo
Cooperativa Educativa para la Participación - Centro CAIF Colibríes del Sur,2698 6032,educaralsur@gmail.com,,
Cooperativa Nacional de Ahorro y Crédito,2402 8708/ 091 395 554,cofac@montevideo.com.uy,http://www.cofac.net/,Daniel Avondet| Presidente| Mario Erramuspe| Secretario| Batlle González| Directivo
Cooperativa de Trabajo Vibethiama - CAIF  Mailhos,23110695 095279719,caifmailhos@gmail.com,,
Cooperativa de Trabajo UBUNTU - Caif Mamboreta,22010484,cooperativaubuntu@gmail.com,,
Comisión Vecinos de La Pedrera,4479 2070 | 098523904,info@lapedrera.com.uy,http://www.vecinosdelapedrera.com,Luis Ignacio Vilaró Pareja| Presidente| Federico Carrau| Tesorero| Natalia de Privitellio| Secretaria
Coordinadora de Entidades Pro Bienestar del Anciano de Colonia| Soriano y San Jose,4575 2145 | 4575 2509,hogarmig@adinet.com.uy,,Marta Volonté| Directora
Cooperativa de Trabajo Walixce,2296 4584,coopwalicxe@hotmail.com,,
Cooperativas Nacionales Financieras Aliadas en Red,2402 8470 | 2402 9411 2916 0031,confiar@confiar.com.uy,http://www.confiaruruguay.coop,Alfredo Allo| Presidente| Ricardo Romanelli| Secretario| Fredey Rondan| tesorero
Cooperativa Manos Unidas por un Mundo Mejor,4332 3026,,,Nora Etchecopar
Cooperativas Agrarias Federadas,2900 0012 | 2901 3339 | Fax: 2902 4929,secretaria@caf.org.uy,http://www.caf.org.uy,Pablo Perdomo| Presidente| Fernando Bide| Secretario| Stefania Silveyra| tesorera
Cooperativo de Trabajo Zona Este Sur Salto,099095015 - 47355707,nuevoclublatablada2016@gmail.com,http://www.facebook.com/NUEVOCLUBLATABLADA/,Ricardo Anchorena - Presidente de COOPTZES| Luciana Arieta  - Secretaria de COOPTZES -| Facundo Molina - Tesorero
Coordinadora de Jubilados y Pensionistas del Uruguay,2400 0101 al 04 | 2400 0106,,http://coorddejubiladosypensionistas.blogspot.com,Héctor Morales| Secretario General| Mario Trápani| Presidente
Cooperativa Social de Clasificadores Ave Fénix,098254244,,,Diego Santos
Coordinadora por la Diversidad en Colonia,098372844,xladiversidadcolonia@gmail.com,http://coloniadiversa.wordpress.com/,Maxi Olaverry| vocero| Tatiana Aristegui| vocera| Viviana Rodriguez| vocera
Cooperativa Uruguay Recicla,095972125,cerrolargoecologico@gmail.com,http://www.uruguayrecicla.org.uy,José Carlos Ramírez| Carla Irene Cardozo| Graciela Ramírez Cardozo
Coordinadora Acciones Afirmativas hacia la población Afrodescenciente,,accionesafirmativasuy@gmail.com,http://accionesafirmativasuy.wordpress.com,
Corazón Solidario  Misión Padre Dehón,099609432/ 23593494,caif.misionpadredehon@gmail.com,,Laura Ponce| Katari Gadea
Cooperativa Ñande,23376949,caifmariposas@gmail.com,,
Cristianos en Red Uruguay,,,http://www.cristianosenred.org.uy,
Cooperativa Proyecto Integral de Talleres Artísticos Recreativos y Educativos,23146844 (caif),coopintare2013@gmail.com,,
Cristo Para Todas las Naciones,2402 3954 | 096971083,cptln@adinet.com.uy,http://www.cptlnuruguay.com,
Cruz del Sur de Barra de Carrasco,2600 4376 |2601 2609,,,
Creciendo Juntos,4444 3505,asociacioncivilcreciendojuntos@hotmail.com,,Nilda Guerrero
Corazones Solidarios Paysandú,098148366,sp.silvacenturion@hotmail.es,,Sandra Silva Centurión (Presidenta)| Fernanda Peralta Nievas (Vicepresidenta)
Corporación Rochense de Turismo,4472 0358 | 099874214,info@rochauy.com,http://www.rochauy.com,Jesús Ramos| Presidente| Jorge Simeone| Vicepresidente
Coordinadora por el Retiro de las Tropas de Haití,099142105 | 098000725 | 099285548 | 099091249,moyano.fer@gmail.com | agolivetti@gmail.com | lizalba24@yahoo.com,,Fernando Moyano| Andrés Olivetti| Mónica Riet
Crecer Con Futuro,4225 0314,,,María del Huerto Vera
Cooperativa Sumando Opciones - Centro CAIF Sumando sueños,,sumandopciones@gmail.com,,
Coordinadora de Psicólogos del Uruguay,2410 6624,cpu@psicologos.org.uy,http://www.psicologos.org.uy,Luis Carrizo| Secretaria General| Veronica Molina
Datos Abiertos| Transparencia y Acceso a la Información,,contacto@datauy.org,http://www.datauy.org,Victoria Estevez| Daniel Carranza| Fernando Uval
Coordinadora Nacional de Economía Solidaria,2908 0497 (INACOOP),contacto@economiasolidaria.org.uy,http://economiasolidaria.org.uy - www.facebook.com/Coordinadora-Econom%C3%ADa-Solidaria-Uruguay-552659838233282/,Elena Almirate| Zulma Perdomo
Coordinadora de Víctimas de Terrorismo de Estado,2924 3334,bastosbroker@hotmail.com,,Pedro Puppo
Creciendo en Familia - Centro CAIF Las Semillitas,4225 1301 | 424 9118 | 4223 7573,caifsemillitas@hotmail.com,,
Cultura Dhamma,093 316 446,culturadhamma@gmail.com,http://www.facebook.com/Cultura.Dhamma/,Lautaro May| Presidente
Cruz Roja Uruguaya,2480 2112 | 2480 0714,cruzroja@adinet.com.uy,http://www.cruzrojauruguaya.org,Ximena Pardo| presidenta| Yolanda Cabrera| Secretaria General
Cultura Ambiental,27088727,cultura.ambiental@gmail.com,http://www.culturaambiental.org.uy,Gabriela Pignataro| Dirección Ejecutiva| Alvaro Rosso| Presidente| Esteban Inda| Secretario
Crysol. Asociación de Expres@s polític@s de Uruguay,2408 44 65,crysol2003@yahoo.com.ar,http://crysol.blogspot.com,Gastón Grisoni| Presidente| Waldemar Tarocco| Vicepresidente| Chela Fontora| Secretaria
ECQUS| protectora y hospital de animales,2514 4465 | 095806751,ecqushospital@gmail.com,http://www.animalecqus.org- www.facebook.com/EcqusONG/,Andrea Silva| Fundadora y Directora
Desarrollo Sustentable de Rosario del Colla,4552 2601 l 4552 3015,desurco@gmail.com,,Victor González Borges| Edgardo Yuele
Cultivando Lazos,099535742,arussoramirez@gmail.com,http://www.facebook.com/cultivandolazos,Agustina Russo - Comunicación| Guillermo Battro - Director| Dolores Battro - Directora
Creative Commons Uruguay,,contacto@creativecommons.uy,http://www.creativecommons.uy,Aldo Álvarez| Patricia Díaz| Paula Domínguez Font
Desarrollo de la Responsabilidad Social Empresaria,26211128,deres@deres.org.uy,"http://www.deres.org.uy, www.facebook.com/DERES.Uy/",Daniel Laino (Presidente)| Mariella de Aurrecoechea (Vice presidentes)| Ferdinando Cuturi (Director ejecutivo)
Editorial Ciudad Nueva Uruguay,2412 2863,cnuevauy@adinet.com.uy,http://ciudadnueva.focolar.org.uy,Angelo Rodríguez Galeano| Presidente| Ali Abdul Gani| Secretario| Celso Lima| Gerente
Desarochando O.R.G,,desarochando@gmail.com,,
Defensa de Niñas y Niños Internacional - Sección Uruguay,2908 7459,dniuruguay@gmail.com,http://www.dniu.org.uy,Juan Fumeiro| Director| Silvana Magariños| Secretaria| Paola Tomagnini| Vocal
De fogón en fogón,27120736,robertosaban0@gmail.com,http://mppba.blogspot.com.ar/,Roberto Saban - Editor| Roberto Saban - Cámara| Andres Correa .- Coordinador
Directores Asociados de Espectáculos Carnavalescos Populares del Uruguay,2208 0289,secretaria@daecpu.org.uy,http://www.daecpu.org.uy,Enrique Espert| Presidente| Carlos Nípoli| Secretario| José Morgade Amestoy| Gerente General
Dependientes de Amor y Sexo Anónimos / Adictos al Sexo y al Amor Anónimos,096012004,dasa.uruguay@gmail.com,http://slaauruguay.blogspot.com,
Ejército de Salvación,2308-5227 // 309-5385,hogarelatardecer@adinet.com.uy,http://www.ejercitodesalvacion.org.uy,Vanesa Gómez| Teniente
El Capiz FM,99952883,elcapizfm@adinet.com.uy,,Fernando López
Ejército Bíblico Uruguayo,2408 2853,,http://www.ebu.com.uy,Carlos López Santos| Secretario Ejecutivo
En Plenitud,4375 3383 |098667991 |094373377 |095355787,enplenitud.parquedelplata@hotmail.com,http://Facebook: www.facebook.com/pages/En-plenitud-Parque-del-plata/215329801846259,
Educación y Promoción Social Andares- CAIF Malala,23040127 - 092299157,caifmalala@gmail.com,,Juan Ávalos
El Terruño,2698 7667,osvaldoe@adinet.com.uy,,Osvaldo Escribano| María Eva Izquierdo
EDUCAMPO Sembrando Conciencia Agropecuaria,099 157 899,comunicacion@educampo.com.uy,http://www.educampo.com.uy,Lorenzo Silva| Presidente| Matilde Casabó| Coordinadora General| Ignacio Cambre| VicePresidente
EMDR Uruguay,2707 7984 -  091 718 389,consultas@emdruruguay.org.uy,http://www.emdruruguay.org.uy/,Ivonne Spinelli| Presidenta| Magdalena Garcia| Vicepresidenta| Mariela Ramos| Secretaria
Emaus Nuevo París,2308 5384 | 2304 3916,emaus@adinet.com.uy,http://www.emaus.org.uy,Alvaro Nuñes| Responsable de Gestion| Washington Santos| Presidente| Gladys Tort| responsable de gestión
El Ombú,2487 1836,,,
El Puente FM,2306 1906,eltejanoadministracion@gmail.com,http://elpuente.lateja.org,
El Palomar,091670810,info@elpalomar.org.uy,http://www.elpalomar.org.uy//  www.facebook.com/pg/elpalomar.uy,Gustavo Saenz Presidente-Fundador| Fiorella Rovascio Panizza Directora Ejecutiva| Andrea Cetta Secretaria
ENclave social| político y ciudadano,,info@enclave.org.uy,http://www.enclave.org.uy,Javier Pereira| Presidente| Daniel Miranda| Secretario
El Prado FM,2312 5614,elpradofm@hotmail.com,http://www.elpradofm.net,Carlos Gonzalez| Director| Emir Martinez| Operador| Andrea Pereira| Productora
En Blanca y Negra,099535754,colectivoenblancaynegra@gmail.com,http://enblancaynegrablog.wordpress.com,Adriana Cabrera Esteve| Estela Peri| Lilian Castro
Endeavor Uruguay,2916 5022,info@endeavor.org.uy,http://www.endeavor.org.uy,Laura Raffo| Directora Ejecutiva| Federica Hampe| Jefa de Comunicación & Marketing| Joaquín Morixe| Gerente de Búsqueda y Aceleración de Emprendedores
Escuela Granja Nuestro Espacio,4532 7929,,http://Facebook: www.facebook.com/escuelagranja.nuestroespacio.1,
Escuela Científica Basilio Uruguay,2401 4911,basiliouruguay@gmail.com,,Eugenio Portal - Guía Espirtual
Escuela de Danza Rumbo Norte,091294763,escuelarumbonorte@gmail.com,,Teresita Pintos - Presidenta| Patricia Rodríguez - Secretaria| Ana Luque - Gestión
Encuentro - Centro de estudios Gestálticos del Uruguay,2708 4386,info@gestalturuguay.com,http://www.gestalturuguay.com/,Fernando de Lucca| Danielle Dutrenit
Equipo Praxis,099626897,waltervenezinai@equipopraxis.com,http://www.equipopraxis.com,Sheila Werosch - Presidente| Walter Veneziani - Secretario
Esclerosis Múltiple - Uruguay,2903 3316,emur@adinet.com.uy,http://emur.org.uy,Mirta Costa| Presidenta| Carlos Oehninger| Coordinador| César Sordo| Secretario
Equipo Praxis,,,http://www.equipopraxis.com,Walter Veneziani| Sheila Werosch| Ernesto Veneziani
ENCARE,2708 1845,encareong@gmail.com,http://www.encare.org.uy,Roberto Gallinal
Enseña Uruguay,,info@ensenauruguay.org,http://www.ensenauruguay.org,Sofia Puig| Directora Ejecutiva| Agustina Mas de Ayala| Coordinadora de Reclutamiento
Encuentro TEA -  Asociación de padres de personas con trastornos del espectro autista,2924 3908 | 2409 7299 l 094 261 765 l 094 488 509,encuentroteacomunicacion@gmail.com,http://httwww.facebook.com/Encuentro-TEA-254711894568018/,
Federación Ciclista Uruguaya,2705 4104,fedcicur@adinet.com.uy,http://www.federacionciclistauruguaya.com.uy/  -  www.facebook.com/fedciclistauy/,Pablo Quintana
Entidad de Gestión de Derechos de los Productores Audiovisuales Uruguay,29091121,egeda-uruguay@egeda.com,http://www.egeda.org.uy,Walter Tournier- Presidente| Mariana Secco-Secretaria| Lucia Gaviglio - Tesorera
Federación Afroumbandista - Grupo ATABAQUE Por un país sin exclusiones,2200 6821 | 099215451 - 2008177,atabaque1@hotmail.com,http://www.ifadeluruguay.com.uy | www.atabaque.com.uy,Susana Andrade| Presidenta| Julio Kronberg
El Andén,2304 6193 l 2304 0110,,,
Federación Autismo Uruguay,098 87 41 92- 29150643,federacionautismouruguay@gmail.com,http://www.autismouruguay.org,Raquel Navarro| Presidenta| Paola Campeón| Vicepresidenta| Martha Perdomo| Secretaria
Familias Unidas Por Los Discapacitados de Rosario,4552 3227,,,
Familiares y Amigos de Alcohólicos Anónimos,2915 6360,alanonuruguay@gmail.com,http://alanon.org.uy,
Facultad Latinoamericana de Ciencias Sociales| Programa Uruguay,29030236,secretaria@flacso.edu.uy,http://flacso.edu.uy,Carmen Beramendi| Directora| Lena Fontela| Secretaria Académica
Facultad de Teología Monseñor Mariano Soler,2487 86 89,contactenos@facteologia.edu.uy,http://www.facteologia.edu.uy/,Ricardo Ramos Blassi| Rector
Expresarte Cultura,4369 4292,expresartesgp@gmail.com,http://www.facebook.com/expresarte.cultura,Liliana Tarigo - Presidenta| Daniel Sampayo| Mirtha Vázquez
Espritú Alma y cuerpo - CAIF Esperanza Bella Italia,25139196,esalcu@gmail.com,,
Familiares y Amigos de Jugadores Anónimos,2575-5396,info@juganon.com,http://www.juganon.com,
Federación de Trabajadores de la Industria Láctea,2209 7244 | 2200 7513,aoec@adinet.com.uy,,Heber Figuerola| Representante
Federación Ecuestre Uruguaya,2900 2231 - 2900 1187 - 2902 0877 int. 228,federacionecuestreuruguaya@gmail.com,http://www.federacionecuestreuruguaya.com.uy/,MARCOS BORGES| Presidente| DANIEL PEREIRA| Secretario| Fernando Rodríguez| Secretario
Federación de Obreros| Papeleros| Cartoneros del Uruguay,,sopip@adinet.com.uy,http://www.papeleros.com.uy,Julio Burgueño| Delegado| Marcelo Olaverry| Suplente
Fe y Alegría Uruguay,2487 717 interno 356,info@feyalegria.org.uy,http://feyalegria.org.uy,Alejandro Tilve Jack| Presidente| Martín Haretche Méndez| Director
Federación de Obreros de la Industria de la Carne y Afines,2409 6680,foica.uy@hotmail.com,http://foica.blogspot.com,Luis Muñoz| Secretario General
Escuela de Cine del Uruguay,2916 9760,info@ecu.edu.uy,http://www.ecu.edu.uy,Enrique Buchichio| Coordinador General| María Satriano| Asistente Académica| Diego Carriquiry| Administración
Federación de Funcionarios y Trabajadores Viales del Ministerio de Transporte y Obras Públicas,2320 4959,futravi2@adinet.com.uy,,Miguel Mascia| Presidente| Jorge Palma| Secretario General
Federación de Obreros y Empleados de la Bebida,2203 0256,foeb@foeb.uy,http://foeb.uy,Fernando Ferreira| Presidente| Pablo Soria| Secretario General
Federación de Funcionarios de Salud Pública,2400 3111 | 2400 5962 | 2408 2333,fefusapu@adinet.com.uy,http://www.ffsp.uy,Martin Pereira| Presidente| Gustavo Gianre| Secretario General
Federación de Iglesias Evangélicas del Uruguay,,presidenciafieu@adinet.com.uy,,Hugo Armand Pilón| presidente
Federación de Instituciones Españolas,2902 7653,fieu.secretaria@gmail.com,http://fieu.uy,Jorge Torres Cantalpiedra (Presidente)| Jorge Torres Cantalpiedra (Presidente)
Federación de Funcionarios de OSE,2924 48 58,contacto@ffose.org.uy,http://ffose.org.uy,Gustavo Ricci| Presidente| Carlos Sosa. Delegado ante el PIT-CNT
Federación Uruguaya de Boxeo,2481 9017,fub@adinet.com.uy,http://www.boxeouruguayo.com/,Juan Carlos Montiel| Presidente| Marco Rodao| Secretario General
Equinoterapia La Milagrosa,099 399 489,info@lamilagrosa.org.uy,,Esteban Vieta| Carolina Tafernaberry
Federación de Funcionarios de Ancap,2924 7341 |2924 9263 |2924 9496,secretaria@fancap.org.uy,http://www.fancap.org.uy,Gerardo Rodríguez| Presidente| Horacio Depratti| secretario
Federación Uruguaya de Bochas,2924 4844,fubochas@gmail.com,http://fubochas.blogspot.com/,Sergio Malacrida| Presidente| Miguel De Martini | Vicepresidente| Fredy Isaas| Secretario General
Federación Uruguaya de Asociaciones de Padres de Personas con Discapacidad Intelectual,2916 36 25,fuap@adinet.com.uy,,Richard Muinio Presidente.
Federación Uruguaya de Ajedrez,098 654 209,presidencia@fuajedrez.org,http://www.fuajedrez.com/,Bernardo Roselli Mailhe| Presidente| Carlos Milans| Vicepresidente| Alexis Augoustis | Secretario
Federación Uruguaya de Basketball,2903 0318,fubb@fubb.org.uy - central@fubb.org.uy - arbitros@fubb.org.uy,http://www.fubb.org.uy,Luis Castillo| Presidente| Sergio Benitez| Gerente Administrativo| Gabriel Baum| Gerente Institucional
Federación Nacional de Profesores de Enseñanza Secundaria,29003754 / 092278540,fenapes@adinet.com.uy,http://www.fenapes.org.uy,Jose Olivera| Presidente| Alejandra Vespa| Secretaria General| Marcel Slamovitz| Vicepresidente
Federación Nacional de Municipales,4732 7332,fnm2013-2015@hotmail.com,http://www.facebook.com/fnm.federacionnacionalmunicipales,Juan Carlos Gómez| Presidente| Carlos Fraga| Secretario General| Andrés Torres| Secretario Finanzas
Federación Nacional de la Discapacidad,2208 5444,fenadisuruguay@gmail.com,,Sandra Noé Abelenda| Presidenta| Martha Giménez Torres| Secretaria
Federación Uruguaya de Asociaciones de Padres de Personas con Capacidades Mentales Diferentes,2903 3022,,,
Federación Rural de Jóvenes,2900 4791 | 2900 5583,frjovenes@gmail.com,http://fr.org.uy/contacto-federacion-rural-de-jovenes/,MAURICIO PIÑEIRO| Presidente| SILVIA TECHERA| Vicepresidente| DAHIANA ACOSTA| Secretaria
Esperanza| Alma y Cuerpo - Hogares Beraca,2506 0691,esalcu@esalcu.org,http://esalcu.org,Ileana Tejera| Mario Pirán
Federación de Estudiantes Universitarios,2408 4732 | 2400 6922,feuu.uruguay@gmail.com,http://www.feuu.edu.uy,ANALÍA RUGGERI Secretaría de Cogobierno. Mesa Ejecutiva| ROMINA PICCO Secretaría de Comunicación Mesa Ejecutiva| MAURO CONTI. Secretaría de Asuntos Gremiales. Mesa ejecutiva
Federación Médica del Interior,1750,secretaria@femi.com.uy,http://www.femi.com.uy,Patricia Nava| Presidenta| Osvaldo Bianchi| Secretario| Daniel Ayala| Tesorero
Federación de Cooperativas de Producción del Uruguay,2418 0819 | 2419 9993,fcpu@fcpu.coop,http://fcpu.coop,Walter Zurdo Ríos| Presidente| Ernesto Sebastián Sanchez González| Vicepresidente| Marisol Fuentes| Secretaria
Federación Rural del Uruguay,2900 4791 | 2900 5583,fedrural@gmail.com,http://fr.org.uy,JULIO ARMAND UGÓN| Presidente| CARLOS MARÍA URIARTE| Vicepresidente| FERNANDO DIGHIERO| Secretaria
Federación Juvenil Sionista,2711 6926,fjsuruguay@gmail.com,http://www.nativ.org.uy/,Gaby - Directora
Federación Uruguaya de los Grupos Crea,2411 1937,,http://www.fucrea.org,Diego Sotelo| Coordinador General.| Ignacio Buffa| Coordinador Ganadero y Agrícola Ganadero| Sebastián Mazzilli| Técnico Agrícola.
Federación Uruguaya de la Diversidad Sexual,,fudis.uy@gmail.com,http://fudis.blogspot.com,Ruben Montaño García| Presidente| Miguel Paredes| Vicepresidente
Federación Uruguaya de la Salud,2402 5883 | 2408 5332,fuspitcnt@gmail.com,http://fuspitcnt.wordpress.com,Ramón Ruiz| Delegado| Jorge Bermúdez| Suplente
Federación Uruguaya de Hockey sobre Césped,2908 6267,administracion@hockey.com.uy,http://www.hockey.com.uy/,Danae Andrada Barrios| Presidenta| Eduardo Burgos Fruniz| Vicepresidente| Cristina Dupuy Sollazzo| Secretaria General
Federación Uruguaya de Handball,2908 9010,furughan@adinet.com.uy,http://www.handballuruguay.com.uy/,
Federación Uruguaya de Judo,2902 5107,feduruguayadejudo@gmail.com,http://judo.com.uy/,Eliseo Roux| Presidente| Mariano Miraldi| Secretario General
Federación Uruguaya de Fútbol de Salón,2901 2374 | 2902 0974 Int. 225,futsalon@adinet.com.uy,http://www.fudefs.com,Mario Giménez| Presidente| Gabriel Delmonte| Vicepresidente| Diego Figueredo| Secretario
Federación Nacional de Instituciones de la Comunidad Sorda de Uruguay,2408 51 25,jotuchar@gmail.com | fenasur@hotmail.com,http://sordos.org.uy,
Federación Uruguaya de Empleados de Comercio y Servicios,2901 1982 | 2908 5559,fueci@fueci.org.uy,http://www.fuecys.org,Ismael Fuentes| Presidente| Favio Riveron| Secretario de Organización| Alexis Osores| Secretario del Interior
Federación Sanducera de Jubilados de ANCAP,47223982,,,Gerardo Irazoqui| Presidente| Mirela Núñez| Secretaria| Lucas Russo| Tesorero
Federación Uruguaya de Cooperativas de Vivienda por Ayuda Mutua,2408 42 98 | 2401 98 74,secretariadireccion@fucvam.org.uy,http://fucvam.org.uy,Fernando Zerboni| Secretario General
Foto Club Uruguayo,2900 5415,fotoclub@fotoclub.org.uy,http://fotoclub.org.uy,Álvaro Percovich| Coordinación General| Carolina Scavone| Presidenta| Matías Fabricio| Adjunto a Coordinación
Fondo Raúl Sendic,2901 6719,fondoraulsendic@adinet.com.uy,,
Federación uruguaya de Go / Weiqi / Baduk,+59894360768,federacionuruguayadego@gmail.com,http://igouruguay.xyz,Osvaldo Rodríguez (Presidente)| Fernando Fontana (Tesorero)| Ivana Calleros (Secretaria)
Fondo Nacional de Música,2902 1438 | 2900 6134 |,info@fonam.org.uy,http://www.fonam.org.uy,Popo Romano| Presidente| Jorge Nasser| Vicepresidente| Fernando Yáñez| Secretario
Federación Uruguaya de Cooperativas de Consumo,,,http://www.fucc.com.uy,María de los Angeles Dati| Presidente| Jorge Galli| Secretario| Juan Zorrilla| Vicepresidente
Federación Uruguaya de Deportes Ecuestres,2901 9243 | 2902 0877 interno 206 | 2902 5107,fude61@hotmail.com,http://www.fude.org.uy,Roberto Abella| Presidente| Guillermo Lockhart| Secretario|  Bruno Nogueira| Tesorero
Federación de Cooperativas de Vivienda por Ahorro y Préstamo,2901 0590,administracion@fecovi.coop,http://www.fecovi.coop/viv/,Ricardo Pisciottano| Presidente| Álex De Álava| Vicepresidente| Alberto Esteves| Secretario General
Fondation Forge,2908 0774,uruguay@fundationforge.org,http://www.fundationforge.org,Marcelo Fernández| Director| Fernanda Fraga| Responsable de Empresas y de Aliados| Carina Rodriguez| Coordinadora Pedagógica
FINES - URUGUAY,2683 1731 | 2320 8312,proyectocamino@hotmail.com | centromadanes@hotmail.com,http://www.finesuruguay.org.uy,
Fóbicos Anónimos del Uruguay,2601 5133,fobicosanonimos@gmx.net,,
Federación Uruguaya de Tenis de Mesa,2902 0877,futm@adinet.com.uy,http://www.futm.org/,Roberto D. Miglietti| Presidente| Miguel Benzo| Vicepresidente| Carlos A. Mazza| Secretario General
Federación Uruguaya de Trabajadores de la Televisión y Afines,2201 2895,futtva@futtva.com.uy,http://futtva.com.uy,Ruben Hernández| Presidente| Carlos Biraben| Vicepresidente| Fernando Del Gaudio| Secretario General
Federación Uruguaya de Teatros Independientes,2403 1238,futisecretaria@gmail.com,http://www.futiweb.blogspot.com.uy,
Fondo Región Colonia,09961901- 4554 5472,fondoregioncolonia@gmail.com,http://www.facebook.com/FondoRegionColonia,Mónica Vera| Presidenta| Wolmar Ackermann (Colonia Valdense)| Diana Davyt (Nueva Helvecia)
Fundación Amigos del Pereira Rossell,2706 8130,fundacionamigos@adinet.com.uy,http://www.fundacionamigos.com,Rosita Leska| Presidenta
Federación Uruguaya de Voleibol,2900 7523,,http://www.uruvoley.org.uy/,Julio Pérez Alfaro| Presidente| Guido Salvo| Vicepresidente| Daniel Santo| Secretario
Federación Uruguaya del Magisterio – Trabajadores de Educación Primaria,2900 0582,fumtep45@gmail.com,http://www.fumtep.uy,Elvia Pereira| Secretaria General
Fundación Alejandra Forlán,2622 9172,secretaria@fundacionalejandraforlan.org,http://www.fundacionalejandraforlan.org,Alejandra Forlán| Fundadora y Presidenta
Fundación Agencia de Desarrollo e Inclusión Social Ruta 7,,,,
